id,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price_eur_per_night,price_unit,distance_to_oktoberfest_km,distance_band,oktoberfest_observed_days,oktoberfest_available_days,available_during_observed_oktoberfest
1218593183559260973,Schwabing-West,48.16486,11.56647,Entire home/apt,1,30,1.4,276,216.0,EUR per night,3.8752021140011443,2-5 km from Oktoberfest,,,
1218616951301350253,Altstadt-Lehel,48.13114160784282,11.569285442400306,Entire home/apt,14,2,0.12,273,172.0,EUR per night,1.470777357467614,0-2 km from Oktoberfest,,,
1218694480239730958,Moosach,48.1836001,11.5365113,Entire home/apt,1,41,1.86,70,204.0,EUR per night,5.828963165131977,5-10 km from Oktoberfest,,,
1218927749135779652,Bogenhausen,48.16273,11.62542,Private room,2,0,,179,103.0,EUR per night,6.593806850175025,5-10 km from Oktoberfest,,,
1218958771714000885,Sendling,48.12030290561795,11.544859007100046,Entire home/apt,1,16,0.71,194,192.0,EUR per night,1.3347521549379306,0-2 km from Oktoberfest,,,
1219258436906076066,Sendling-Westpark,48.1184099,11.5029972,Private room,1,6,0.27,15,342.0,EUR per night,3.763450177700681,2-5 km from Oktoberfest,,,
1219353360316675985,Laim,48.1384838,11.5169338,Private room,3,2,0.15,356,156.0,EUR per night,2.5251478924312196,2-5 km from Oktoberfest,,,
1219527766044572414,Au-Haidhausen,48.13368,11.59613,Entire home/apt,3,24,1.08,83,465.0,EUR per night,3.4661711947520324,2-5 km from Oktoberfest,,,
1219611143392376108,Untergiesing-Harlaching,48.1042594,11.5699965,Private room,1,3,0.14,183,125.0,EUR per night,3.429491306993514,2-5 km from Oktoberfest,,,
1220097682116236641,Tudering-Riem,48.11873569877957,11.686436275177732,Private room,3,5,0.23,210,106.0,EUR per night,10.268689711142168,10+ km from Oktoberfest,,,
1220153845347740223,Schwanthalerhöhe,48.13465,11.53365,Entire home/apt,1,1,0.11,85,225.0,EUR per night,1.2153497564413838,0-2 km from Oktoberfest,,,
1220872145671387592,Ludwigsvorstadt-Isarvorstadt,48.1356837,11.5550568,Private room,1,55,2.56,179,177.0,EUR per night,0.5891221364683632,0-2 km from Oktoberfest,,,
1221016806457409043,Ramersdorf-Perlach,48.10900407883247,11.652252774585158,Private room,1,0,,120,177.0,EUR per night,8.041020350350927,5-10 km from Oktoberfest,,,
1221610746103139093,Schwanthalerhöhe,48.13299929420867,11.53464674949646,Entire home/apt,1,8,0.37,13,591.0,EUR per night,1.1090566890515001,0-2 km from Oktoberfest,,,
1221670183424317112,Schwabing-West,48.16666546318348,11.5648827863981,Private room,1,26,1.18,71,123.0,EUR per night,4.030677587669701,2-5 km from Oktoberfest,,,
1221786049212151013,Ludwigsvorstadt-Isarvorstadt,48.12929839290454,11.552906893193722,Entire home/apt,21,0,,291,151.0,EUR per night,0.3842084486756312,0-2 km from Oktoberfest,,,
1221789602840824608,Ludwigsvorstadt-Isarvorstadt,48.13137513816163,11.581199519551443,Entire home/apt,1,6,0.27,304,250.0,EUR per night,2.353268143379135,2-5 km from Oktoberfest,,,
1221875114873165132,Sendling-Westpark,48.1153076962736,11.52733547863103,Private room,3,5,0.23,185,201.0,EUR per night,2.4719513539798075,2-5 km from Oktoberfest,,,
1222523356348837528,Schwanthalerhöhe,48.13171541427845,11.53682313399959,Entire home/apt,2,14,0.94,337,326.0,EUR per night,0.9410201638906619,0-2 km from Oktoberfest,,,
1222954557456374366,Sendling,48.11026,11.5487,Entire home/apt,3,25,1.1,147,168.0,EUR per night,2.4069908522696233,2-5 km from Oktoberfest,,,
1223021345905326049,Schwabing-West,48.15997,11.56496,Entire home/apt,1,13,0.6,316,177.0,EUR per night,3.3253300770064778,2-5 km from Oktoberfest,,,
1223162304270585199,Ludwigsvorstadt-Isarvorstadt,48.13566865258445,11.556383930804063,Private room,1,11,0.51,240,215.0,EUR per night,0.660747282208393,0-2 km from Oktoberfest,,,
1223833312924419494,Schwabing-Freimann,48.17478211072953,11.58689182842716,Entire home/apt,3,3,0.14,17,230.0,EUR per night,5.516384906976766,5-10 km from Oktoberfest,,,
1224366479631906710,Sendling,48.110300830897614,11.538973474447989,Private room,1,20,0.88,7,108.0,EUR per night,2.5256277815998085,2-5 km from Oktoberfest,,,
1224395722821436624,Maxvorstadt,48.1503,11.55335,Entire home/apt,1,2,0.13,363,355.0,EUR per night,2.0658337705135614,2-5 km from Oktoberfest,,,
1224452633865145763,Ludwigsvorstadt-Isarvorstadt,48.12968,11.57341,Entire home/apt,2,7,3.82,71,135.0,EUR per night,1.7915710283407627,0-2 km from Oktoberfest,,,
1224461248074877166,Ludwigsvorstadt-Isarvorstadt,48.12653,11.56258,Entire home/apt,5,6,0.41,339,149.0,EUR per night,1.1397060553315628,0-2 km from Oktoberfest,,,
1224731051689154490,Berg am Laim,48.13237123606558,11.632269035448443,Entire home/apt,3,0,,81,183.0,EUR per night,6.142774905904024,5-10 km from Oktoberfest,,,
1224820206004036129,Ramersdorf-Perlach,48.10911935846675,11.627648811617966,Private room,1,5,0.23,349,95.0,EUR per night,6.32992539321139,5-10 km from Oktoberfest,,,
1225329501631342066,Schwanthalerhöhe,48.13699,11.53123,Entire home/apt,2,3,0.14,364,310.0,EUR per night,1.4692058935265697,0-2 km from Oktoberfest,,,
1225343319207522803,Altstadt-Lehel,48.1401317,11.5919102,Entire home/apt,1,30,1.35,120,178.0,EUR per night,3.277562273401922,2-5 km from Oktoberfest,,,
1225926822451840918,Neuhausen-Nymphenburg,48.1577864,11.5413505,Entire home/apt,1,1,0.05,225,340.0,EUR per night,2.9412578898898984,2-5 km from Oktoberfest,,,
1225977307516176529,Sendling-Westpark,48.1171236,11.5123577,Entire home/apt,2,7,1.86,269,174.0,EUR per night,3.2093468098312883,2-5 km from Oktoberfest,,,
