id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,availability_level,has_reviews,snapshot_date,generated_at
1463032,Schwabing-West,Entire home/apt,15.0,180,40,0.25,331,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1481022,Obergiesing,Entire home/apt,160.0,1,340,2.25,277,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1483012,Milbertshofen-Am Hart,Private room,55.0,2,15,0.1,337,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1516754,Neuhausen-Nymphenburg,Entire home/apt,68.0,1,1,0.39,122,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
1518352,Au-Haidhausen,Entire home/apt,142.0,1,272,2.38,241,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1534335,Laim,Entire home/apt,121.0,3,156,1.15,26,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
1537237,Tudering-Riem,Private room,94.0,1,143,0.92,294,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1597701,Obergiesing,Private room,109.0,2,302,1.94,65,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
1601358,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Private room,74.0,2,20,0.17,340,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1606779,Milbertshofen-Am Hart,Entire home/apt,132.0,1,81,0.52,56,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
1637127,Milbertshofen-Am Hart,Private room,70.0,1,751,6.0,277,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1639990,Bogenhausen,Private room,89.0,2,46,0.3,179,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
1648891,Maxvorstadt,Private room,80.0,300,0,0.0,364,High,False,2026-06-29,2026-09-11T01:25:48+02:00
1651743,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,15.0,180,1,0.01,361,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1654425,Untergiesing-Harlaching,Entire home/apt,133.0,1,321,2.41,25,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
1666171,Schwanthalerhöhe,Entire home/apt,118.0,4,49,0.33,183,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1671501,Berg am Laim,Private room,141.0,1,74,0.48,338,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1674377,Tudering-Riem,Private room,156.0,3,46,0.41,212,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1680894,Untergiesing-Harlaching,Entire home/apt,109.0,5,33,0.27,342,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1711536,Schwabing-Freimann,Private room,190.0,1,11,0.08,321,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1734262,Schwabing-Freimann,Entire home/apt,11.0,180,0,0.0,364,High,False,2026-06-29,2026-09-11T01:25:48+02:00
1780894,Ludwigsvorstadt-Isarvorstadt,Private room,100.0,2,93,0.67,264,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1805167,Schwabing-Freimann,Private room,71.0,1,40,0.27,90,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
1865548,Maxvorstadt,Entire home/apt,215.0,1,1066,6.95,123,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
1933035,Milbertshofen-Am Hart,Private room,104.0,2,166,1.13,240,High,True,2026-06-29,2026-09-11T01:25:48+02:00
1993742,Maxvorstadt,Entire home/apt,139.0,1,351,2.36,3,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
2003416,Untergiesing-Harlaching,Entire home/apt,111.0,5,34,0.23,84,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
